short_name,long_name,dob,club,overall,potential,value_eur,wage_eur,team_position,preferred_foot,influencer
Danilo,danilo luiz da silva,1991-07-15,Juventus,. 79   ,79,11000000,90000,SUB,Right,False
N. Pallois,nicolas pallois,1987-09-19,FC Nantes,. 79   ,79,9500000,29000,LCB,Left,False
Vitolo,Víctor machín pérez,1989-11-02,Atlético Madrid,. 79   ,79,12500000,57000,SUB,Right,False
M. Badelj,milan badelj,1989-02-25,Fiorentina,. 79   ,79,10500000,53000,CDM,Right,False
C. Tătărușanu,Anton ciprian tătărușanu,1986-02-09,Olympique Lyonnais,. 79   ,79,7000000,52000,SUB,Right,False
Zé Luís,José luís mendes andrade,1991-01-24,FC Porto,. 79   ,79,13000000,19000,LS,Left,False
D. Suárez,DAMIÁN NICOLÁS SUÁREZ SUÁREZ,1988-04-27,Getafe CF,. 79   ,79,9000000,26000,RB,Right,False
Roque Mesa,roque mesa quevedo,1989-06-07,CD Leganés,. 79   ,79,10500000,32000,RCM,Right,False
Mário Rui,Mário rui silva duarte,1991-05-27,Napoli,. 79   ,79,11000000,62000,SUB,Left,False
T. Inui,乾 貴士,1988-06-02,SD Eibar,. 79   ,79,11000000,28000,SUB,Right,False
D. Cheryshev,denis cheryshev,1990-12-26,Valencia CF,. 79   ,79,12500000,41000,SUB,Left,False
C. Bacca,Carlos arturo bacca ahumada,1986-09-08,Villarreal CF,. 79   ,79,10000000,40000,SUB,Right,False
A. Samaris,Andreas samaris,1989-06-13,SL Benfica,. 79   ,79,10500000,15000,LCM,Right,False
J. Hector,Jonas hector,1990-05-27,1. FC Köln,. 79   ,79,10500000,32000,LB,Left,False
Rubén Peña,Rubén peña jiménez,1991-07-18,Villarreal CF,. 79   ,79,11000000,34000,RB,Right,False
A. Hamdallah,abderrazak hamdallah,1990-12-17,Al Nassr,. 79   ,79,13000000,52000,ST,Right,False
D. Benedetto,darío benedetto,1990-05-17,Olympique de Marseille,. 79   ,79,12500000,46000,ST,Right,False
L. Sigali,LEONARDO SIGALI,1987-05-29,Racing Club,. 79   ,79,8000000,24000,LCB,Right,False
Raúl,Raúl michel melo da silva,1989-11-04,SC Braga,. 79   ,79,10500000,18000,SUB,Left,False
Petros,Petros matheus dos santos araujo,1989-05-29,Al Nassr,. 79   ,79,10500000,42000,RDM,Right,False
Dyego Sousa,Dyego wilverson ferreira sousa,1989-09-14,Shenzhen FC,. 79   ,79,12500000,23000,CF,Right,False
Soares,francisco das chagas soares dos santos,1991-01-17,FC Porto,. 79   ,79,13000000,19000,SUB,Right,False
Rubén Alcaraz,Rubén alcaraz jiménez,1991-05-01,Real Valladolid CF,. 79   ,79,12500000,26000,LCM,Right,False
Maikel Catarino,MAIKEL RENAN CATARINO FAGUNDES,1984-02-29,Atlético Mineiro,. 79   ,79,3600000,27000,RB,Right,False
Antônio Chiamuloira,A. BENJAMIN CHIAMULOIRA PAES,1988-02-29,Internacional,. 79   ,79,9500000,30000,RCB,Left,False
Melvin Parrela,melvin luan parrela porfírio,1988-02-29,CSA - AL,. 79   ,79,9500000,17000,RDM,Right,False
Gabri Prestão,BERNARD GABRIEL PRESTÃO CHAVES,1992-02-29,Internacional,. 79   ,79,9000000,24000,GK,Right,False
Luimo Boas Santos,Luan vágner boas macedo,1988-02-29,Santos,. 79   ,79,11500000,48000,ST,Right,False
D. Lenzado,Daniel martín lenzado,1988-02-29,Uruguay,. 79   ,79,0,0,,Left,False
E. Riquero,Enzo martín riquero,1988-02-29,Uruguay,. 79   ,79,0,0,,Right,False
L. Sáreda,Leandro miguel sáreda,1992-02-29,Uruguay,. 79   ,79,0,0,,Right,False
E. Aguerro,ENZO MANUEL AGUERRO,1988-02-29,Uruguay,. 79   ,79,0,0,,Right,False
A. Meret,Alex meret,1997-03-22,Napoli,. 78   ,89,14000000,36000,GK,Left,False
I. Sarr,ISMAÏLA SARR,1998-02-25,Watford,. 78   ,88,17000000,47000,SUB,Right,False
D. Rice,DECLAN RICE,1999-01-14,West Ham United,. 78   ,87,15000000,49000,CDM,Right,False
F. Neuhaus,Florian neuhaus,1997-03-16,Borussia Mönchengladbach,. 78   ,87,15500000,26000,CAM,Right,False
M. Zaracho,MATÍAS ZARACHO,1998-03-03,Racing Club,. 78   ,87,16000000,18000,CAM,Right,False
Ferro,FRANCISCO REIS FERREIRA,1997-03-26,SL Benfica,. 78   ,87,14500000,12000,LCB,Right,False
J. Andersen,JOACHIM ANDERSEN,1996-05-31,Olympique Lyonnais,. 78   ,86,14000000,50000,RCB,Right,False
D. Zakaria,Denis lemi zakaria lako lado,1996-11-20,Borussia Mönchengladbach,. 78   ,86,15000000,26000,RCM,Right,False
I. Diop,issa diop,1997-01-09,West Ham United,. 78   ,86,14000000,59000,LCB,Right,False
H. Onyekuru,HENRY ONYEKURU,1997-06-05,AS Monaco,. 78   ,86,15500000,35000,LM,Right,False
J. Ikoné,NANITAMO JONATHAN IKONÉ,1998-05-02,LOSC Lille,. 78   ,86,15500000,29000,RM,Left,False
C. Ünder,CENGIZ ÜNDER,1997-07-14,Roma,. 78   ,86,15500000,35000,RM,Left,False
M. Ødegaard,Martin ødegaard,1998-12-17,Real Sociedad,. 78   ,85,14500000,25000,CAM,Left,False
J. Bamba,jonathan bamba,1996-03-26,LOSC Lille,. 78   ,85,14500000,35000,LM,Right,False
N. Amiri,Nadiem amiri,1996-10-27,Bayer 04 Leverkusen,. 78   ,85,14500000,50000,SUB,Right,False
O. Zinchenko,oLEKSANDR ZINCHENKO,1996-12-15,Manchester City,. 78   ,85,13000000,82000,LB,Left,False
J. Mateta,JEAN-PHILIPPE MATETA,1997-06-28,1. FSV Mainz 05,. 78   ,85,15000000,29000,RES,Right,False
O. Yokuşlu,Okay yokuşlu,1994-03-09,RC Celta,. 78   ,84,13000000,22000,SUB,Right,False
B. Cristante,BRYAN CRISTANTE,1995-03-03,Roma,. 78   ,84,14000000,37000,SUB,Right,False
L. Dendoncker,Leander dendoncker,1995-04-15,Wolverhampton Wanderers,. 78   ,84,14000000,66000,RCM,Right,False
M. Dahoud,mahmoud dahoud,1996-01-01,Borussia Dortmund,. 78   ,84,14000000,58000,SUB,Right,False
N. Elvedi,nico elvedi,1996-09-30,Borussia Mönchengladbach,. 78   ,84,13000000,24000,LCB,Right,False
Joelinton,Joelinton apolinário de lira,1996-08-14,Newcastle United,. 78   ,84,14500000,41000,RS,Right,False
Daniel Podence,DANIEL CASTELO PODENCE,1995-10-21,Olympiacos CFP,. 78   ,84,14000000,1000,LM,Right,False
G. Dzhikiya,georgiy dzhikiya,1993-11-21,Spartak Moscow,. 78   ,84,12500000,1000,LCB,Left,False
Aarón Martín,aARÓN MARTÍN CARICOL,1997-04-22,1. FSV Mainz 05,. 78   ,84,12500000,24000,LB,Left,False
E. Bardhi,enis bardhi,1995-07-02,Levante UD,. 78   ,84,14000000,23000,LCM,Right,False
N. Maksimović,NEMANJA MAKSIMOVIĆ,1995-01-26,Getafe CF,. 78   ,84,14000000,22000,RDM,Right,False
Calero,Fernando calero villa,1995-09-14,RCD Espanyol,. 78   ,84,13000000,23000,LCB,Right,False
J. Butland,JACK BUTLAND,1993-03-10,Stoke City,. 78   ,83,10000000,29000,GK,Right,False
Óliver Torres,óliver torres muñoz,1994-11-10,Sevilla FC,. 78   ,83,13500000,17000,SUB,Right,False
G. Laborde,Gaëtan  laborde,1994-05-03,Montpellier HSC,. 78   ,83,14000000,36000,RS,Left,False
R. De Paul,rodrigo javier de paul,1994-05-24,Udinese,. 78   ,83,14000000,21000,LCM,Right,False
D. Selke,davie selke,1995-01-20,Hertha BSC,. 78   ,83,14000000,29000,SUB,Right,False
M. Lemina,Mario lemina,1993-09-01,Southampton,. 78   ,83,13500000,53000,SUB,Right,False
D. Origi,DIVOCK ORIGI,1995-04-18,Liverpool,. 78   ,83,14000000,77000,SUB,Right,False
E. Pulgar,Erick pulgar,1994-01-15,Fiorentina,. 78   ,83,12500000,45000,LCM,Right,False
A. Miranchuk,aleksey miranchuk,1995-10-17,Lokomotiv Moscow,. 78   ,83,14000000,1000,CAM,Left,False
W. Barrios,WÍLMAR ENRIQUE BARRIOS TERÁN,1993-10-16,Colombia,. 78   ,83,0,0,,Right,False
J. Musso,jUAN MUSSO,1994-05-06,Udinese,. 78   ,83,10000000,14000,GK,Right,False
Rúben Vezo,RÚBEN MIGUEL NUNES VEZO,1994-04-25,Levante UD,. 78   ,83,12500000,23000,RCB,Right,False
B. Santamaria,BAPTISTE SANTAMARIA,1995-03-09,Angers SCO,. 78   ,83,12500000,21000,CM,Right,False
Y. Mina,yERRY MINA,1994-09-23,Everton,. 78   ,83,12500000,59000,LCB,Right,False
Joan Jordán,joan jordán moreno,1994-07-06,Sevilla FC,. 78   ,83,13500000,17000,SUB,Right,False
L. Tousart,LUCAS TOUSART,1997-04-29,Olympique Lyonnais,. 78   ,83,12500000,50000,CDM,Right,False
Y. Yazıcı,YUSUF YAZICI,1997-01-29,LOSC Lille,. 78   ,83,14000000,35000,CAM,Left,False
M. Gregoritsch,michael gregoritsch,1994-04-18,FC Augsburg,. 78   ,82,13500000,26000,CAM,Left,False
J. Lascelles,jamaal lascelles,1993-11-11,Newcastle United,. 78   ,82,12000000,37000,CB,Right,False
T. Vilhena,Tonny emilio trindade de vilhena,1995-01-03,Netherlands,. 78   ,82,0,0,,Left,False
Denis Suárez,Denis suárez fernández,1994-01-06,RC Celta,. 78   ,82,13000000,25000,LM,Right,False
K. Rekik,KARIM REKIK,1994-12-02,Hertha BSC,. 78   ,82,12000000,24000,LCB,Left,False
B. Traoré,BERTRAND TRAORÉ,1995-09-06,Olympique Lyonnais,. 78   ,82,13500000,61000,RW,Left,False
I. Amadou,ibrahim amadou,1993-04-06,Norwich City,. 78   ,82,12000000,46000,SUB,Right,False
M. Meyer,Max  meyer,1995-09-18,Crystal Palace,. 78   ,82,13500000,48000,LM,Right,False
José Sá,José pedro malheiro de sá,1993-01-17,Olympiacos CFP,. 78   ,82,9500000,1000,GK,Right,False
A. Selikhov,ALEXANDR SELIKHOV,1994-04-07,Spartak Moscow,. 78   ,82,10000000,1000,SUB,Right,False
A. Mitrović,ALEKSANDAR MITROVIĆ,1994-09-16,Fulham,. 78   ,82,13500000,45000,ST,Right,False
G. Maripán,guillermo alfonso maripán loaysa,1994-05-06,Deportivo Alavés,. 78   ,82,12000000,23000,LCB,Right,False
E. Skhiri,ellyes skhiri,1995-05-10,1. FC Köln,. 78   ,82,12000000,24000,RDM,Right,False
D. Dumfries,DENZEL DUMFRIES,1996-04-18,PSV,. 78   ,82,12000000,16000,RB,Right,False
Bruno Viana,bruno viana willemen da silva,1995-02-05,SC Braga,. 78   ,82,12000000,13000,RCB,Right,False
M. Sels,Matz sels,1992-02-26,RC Strasbourg Alsace,. 78   ,81,9000000,24000,GK,Right,False
A. Soumaoro,Adama soumaoro,1992-06-18,LOSC Lille,. 78   ,81,11000000,36000,LCB,Right,False
J. Veretout,Jordan veretout,1993-03-01,Roma,. 78   ,81,12500000,42000,LDM,Right,False
V. Fischer,VIKTOR FISCHER,1994-06-09,FC København,. 78   ,81,13000000,23000,LM,Right,False
S. Meïté,soualiho meïté,1994-03-17,Torino,. 78   ,81,13000000,43000,LCM,Right,False
J. Boëtius,JEAN-PAUL BOËTIUS,1994-03-22,1. FSV Mainz 05,. 78   ,81,13000000,29000,CAM,Right,False
D. Berardi,Domenico berardi,1994-08-01,Sassuolo,. 78   ,81,13000000,50000,RW,Left,False
R. Gagliardini,rOBERTO GAGLIARDINI,1994-04-07,Inter,. 78   ,81,12000000,51000,SUB,Right,False
R. Saravia,RENZO SARAVIA,1993-06-16,FC Porto,. 78   ,81,11500000,14000,SUB,Right,False
Ayoze Pérez,AYOZE PÉREZ GUTIÉRREZ,1993-07-29,Leicester City,. 78   ,81,13000000,79000,RW,Right,False
H. Hateboer,hANS HATEBOER,1994-01-09,Atalanta,. 78   ,81,13000000,50000,RM,Right,False
B. Verbič,BENJAMIN VERBIČ,1993-11-27,Dynamo Kyiv,. 78   ,81,13000000,1000,LM,Right,False
G. Martínez,Gonzalo nicolás martínez,1993-06-13,Atlanta United,. 78   ,81,13000000,10000,CAM,Left,False
Rafael Tolói,Rafael tolói,1990-10-10,Atalanta,. 78   ,80,10500000,50000,CB,Right,False
S. Duffy,Shane duffy,1992-01-01,Brighton & Hove Albion,. 78   ,80,11000000,46000,RCB,Right,False
F. Lejeune,florian lejeune,1991-05-20,Newcastle United,. 78   ,80,10500000,41000,SUB,Right,False
L. Dunk,lEWIS DUNK,1991-11-21,Brighton & Hove Albion,. 78   ,80,11000000,46000,CB,Right,False
Pedro Mendes,pEDRO FILIPE TEODÓSIO MENDES,1990-10-01,Montpellier HSC,. 78   ,80,10500000,33000,LCB,Right,False
Fernando,fernando lucas martins,1992-03-03,Beijing Sinobo Guoan FC,. 78   ,80,11000000,20000,RAM,Right,False
K. Fortounis,Konstantinos fortounis,1992-10-16,Olympiacos CFP,. 78   ,80,12500000,1000,RES,Right,False
C. Hérelle,CHRISTOPHE HÉRELLE,1992-08-22,OGC Nice,. 78   ,80,11000000,31000,RCB,Right,False
Omar Mascarell,Omar mascarell gonzález,1993-02-02,FC Schalke 04,. 78   ,80,11500000,30000,LDM,Right,False
Bruma,Armindo tué na bangna,1994-10-24,PSV,. 78   ,80,13000000,19000,LW,Right,False
S. Deli,Simon deli,1991-10-27,Club Brugge KV,. 78   ,80,11000000,23000,LCB,Left,False
M. Ngadeu,MICHAEL NGADEU,1990-11-23,KAA Gent,. 78   ,80,10500000,23000,LCB,Right,False
V. Wanyama,VICTOR WANYAMA,1991-06-25,Tottenham Hotspur,. 78   ,79,10500000,77000,SUB,Right,False
C. Kabasele,Christian kabasele,1991-02-24,Watford,. 78   ,79,10000000,61000,SUB,Right,False
A. Delort,Andy delort,1991-10-09,Montpellier HSC,. 78   ,79,12000000,37000,LS,Right,False
Joel Robles,Joel robles blázquez,1990-06-17,Real Betis,. 78   ,79,8500000,20000,GK,Right,False
Sérgio Oliveira,SÉRGIO MIGUEL RELVAS DE OLIVEIRA,1992-06-02,FC Porto,. 78   ,79,11500000,15000,RCM,Right,False
V. Aboubakar,Vincent paté aboubakar,1992-01-22,FC Porto,. 78   ,79,12000000,17000,SUB,Right,False
M. Uth,mark uth,1991-08-24,FC Schalke 04,. 78   ,79,12000000,36000,SUB,Left,False
M. Doherty,MATT DOHERTY,1992-01-16,Wolverhampton Wanderers,. 78   ,79,10500000,69000,RWB,Right,False
David López,david lópez silva,1989-10-09,RCD Espanyol,. 78   ,79,10000000,29000,SUB,Right,False
R. Freuler,remo freuler,1992-04-15,Atalanta,. 78   ,79,11500000,52000,RCM,Right,False
D. Demme,diego demme,1991-11-21,RB Leipzig,. 78   ,79,10500000,45000,SUB,Right,False
A. Schwolow,aLEXANDER SCHWOLOW,1992-06-02,SC Freiburg,. 78   ,79,8500000,20000,GK,Right,False
J. Vestergaard,JANNIK VESTERGAARD,1992-08-03,Southampton,. 78   ,79,11000000,51000,LCB,Right,False
F. Mollet,florent mollet,1991-11-19,Montpellier HSC,. 78   ,79,12000000,34000,CAM,Right,False
J. Hofmann,JONAS HOFMANN,1992-07-14,Borussia Mönchengladbach,. 78   ,79,12000000,30000,SUB,Right,False
V. Grifo,Vincenzo grifo,1993-04-07,TSG 1899 Hoffenheim,. 78   ,79,12000000,36000,CAM,Right,False
F. Tait,flavien tait,1993-02-02,Stade Rennais FC,. 78   ,79,12000000,43000,LS,Right,False
D. Laxalt,diego laxalt,1993-02-07,Milan,. 78   ,79,12000000,40000,SUB,Left,False
N. Maksimović,Nikola maksimović,1991-11-25,Napoli,. 78   ,79,10500000,54000,SUB,Right,False
Capa,ANDER CAPA RODRÍGUEZ,1992-02-08,Athletic Club de Bilbao,. 78   ,79,10500000,23000,RB,Right,False
Bastos,BARTOLOMEU JACINTO QUISSANGA,1991-11-23,Lazio,. 78   ,79,10500000,44000,LCB,Right,False
M. Diagne,mbaye diagne,1991-10-28,Galatasaray SK,. 78   ,79,12000000,69000,ST,Right,False
G. Ochoa,francisco guillermo ochoa magaña,1985-07-13,Club América,. 78   ,78,5500000,41000,SUB,Right,False
C. Tévez,carlos alberto tevez,1984-02-05,Boca Juniors,. 78   ,78,4500000,19000,CF,Right,False
J. Sosa,José ernesto sosa,1985-06-19,Trabzonspor,. 78   ,78,5000000,34000,RCM,Right,False
Raffael,raffael caetano de araújo,1985-03-28,Borussia Mönchengladbach,. 78   ,78,5500000,33000,SUB,Right,False
Andrés Fernández,ANDRÉS EDUARDO FERNÁNDEZ MORENO,1986-12-16,Villarreal CF,. 78   ,78,6500000,25000,SUB,Right,False
J. Pinola,javier horacio pinola,1983-02-24,River Plate,. 78   ,78,2100000,17000,SUB,Left,False
M. Zárate,Mauro matías zárate,1987-03-18,Boca Juniors,. 78   ,78,8500000,28000,SUB,Right,False
Hilton,vitorino hilton da silva,1977-09-13,Montpellier HSC,. 78   ,78,0,21000,CB,Right,False
G. Hoarau,GUILLAUME HOARAU,1984-03-05,BSC Young Boys,. 78   ,78,4800000,21000,LS,Right,False
A. Granqvist,andreas granqvist,1985-04-16,Helsingborgs IF,. 78   ,78,3800000,4000,LCB,Right,False
R. Babel,RYAN GUNO BABEL,1986-12-19,Galatasaray SK,. 78   ,78,8000000,64000,LM,Right,False
T. Vermaelen,THOMAS VERMAELEN,1985-11-14,Vissel Kobe,. 78   ,78,4900000,10000,LCB,Left,False
D. Abraham,David ángel abraham,1986-07-15,Eintracht Frankfurt,. 78   ,78,6500000,33000,RCB,Right,False
S. Nasri,Samir nasri,1987-06-26,RSC Anderlecht,. 78   ,78,8000000,23000,RCM,Right,False
I. Khune,iTUMELENG KHUNE,1987-06-20,Kaizer Chiefs,. 78   ,78,6500000,1000,SUB,Right,False
A. Masiello,andrea masiello,1986-02-05,Atalanta,. 78   ,78,4900000,48000,LCB,Right,False
R. Bertrand,RYAN BERTRAND,1989-08-05,Southampton,. 78   ,78,8500000,53000,LWB,Left,False
J. dos Santos,JONATHAN DOS SANTOS RAMÍREZ,1990-04-26,LA Galaxy,. 78   ,78,10000000,11000,LCM,Right,False
Gervinho,gervais lombe yao kouassi,1987-05-27,Parma,. 78   ,78,8000000,49000,LW,Right,False
N. Şahin,nuri şahin,1988-09-05,SV Werder Bremen,. 78   ,78,8500000,28000,CDM,Left,False
S. Defour,Steven defour,1988-04-15,Burnley,. 78   ,78,9000000,39000,SUB,Right,False
K. Mirallas,KEVIN MIRALLAS,1987-10-05,Everton,. 78   ,78,9000000,75000,RES,Right,False
Manu García,MANUEL ALEJANDRO GARCÍA SÁNCHEZ,1986-04-26,Deportivo Alavés,. 78   ,78,6000000,27000,LCM,Left,False
Coke,JORGE ANDÚJAR MORENO,1987-04-26,Levante UD,. 78   ,78,6500000,24000,RB,Right,False
V. Moses,VICTOR MOSES,1990-12-12,Fenerbahçe SK,. 78   ,78,10500000,66000,RM,Right,False
C. Ansaldi,Cristian daniel ansaldi,1986-09-20,Torino,. 78   ,78,8000000,45000,LM,Left,False
S. Mignolet,simon mignolet,1988-03-06,Club Brugge KV,. 78   ,78,6500000,19000,GK,Right,False
H. Moreno,héctor alfredo moreno herrera,1988-01-17,Mexico,. 78   ,78,0,0,,Left,False
J. Tomkins,JAMES TOMKINS,1989-03-29,Crystal Palace,. 78   ,78,8500000,51000,SUB,Right,False
F. Caicedo,FELIPE SALVADOR CAICEDO COROZO,1988-09-05,Lazio,. 78   ,78,10000000,52000,SUB,Left,False
V. Birsa,valter birsa,1986-08-07,Cagliari,. 78   ,78,8000000,35000,SUB,Left,False
D. Mbokani,DIEUMERCI MBOKANI BEZUA,1985-11-22,Royal Antwerp FC,. 78   ,78,6500000,17000,ST,Right,False
C. Zapata,cristian eduardo zapata valencia,1986-09-30,Genoa,. 78   ,78,6500000,18000,CB,Right,False
J. Hernández,JAVIER HERNÁNDEZ BALCÁZAR,1988-06-01,West Ham United,. 78   ,78,9500000,82000,SUB,Right,False
P. Diop,Papa kouly diop,1986-03-19,SD Eibar,. 78   ,78,5000000,23000,SUB,Right,False
M. Sulejmani,miralem sulejmani,1988-12-05,BSC Young Boys,. 78   ,78,10000000,26000,LM,Left,False
D. Da Silva,damien da silva,1988-05-17,Stade Rennais FC,. 78   ,78,7500000,39000,RCB,Right,False
Marcelo,marcelo antônio guedes filho,1987-05-20,Olympique Lyonnais,. 78   ,78,6500000,58000,SUB,Right,False
Guilherme,guilherme alvim marinato,1985-12-12,Lokomotiv Moscow,. 78   ,78,5500000,1000,GK,Right,False
S. Jovetić,Stevan jovetić,1989-11-02,AS Monaco,. 78   ,78,10500000,45000,RES,Right,False
M. Cáceres,MARTÍN CÁCERES,1987-04-07,Lazio,. 78   ,78,6500000,44000,RES,Right,False
J. Holebas,jose holebas,1984-06-27,Watford,. 78   ,78,2900000,42000,LB,Left,False
N. Amrabat,NORDIN AMRABAT,1987-03-31,Al Nassr,. 78   ,78,8000000,41000,RM,Right,False
T. Deeney,Troy deeney,1988-06-29,Watford,. 78   ,78,9500000,69000,LS,Right,False
L. Fejsa,Ljubomir fejsa,1988-08-14,SL Benfica,. 78   ,78,8500000,14000,SUB,Right,False
D. Schwaab,DANIEL SCHWAAB,1988-08-23,PSV,. 78   ,78,8500000,18000,SUB,Right,False
O. Karnezis,ORESTIS KARNEZIS,1985-07-11,Napoli,. 78   ,78,5500000,44000,SUB,Right,False
N. Petersen,nils petersen,1988-12-06,SC Freiburg,. 78   ,78,10000000,30000,LS,Right,False
P. Piatti,pablo daniel piatti,1989-03-31,RCD Espanyol,. 78   ,78,10000000,30000,SUB,Left,False
S. Wagner,Sandro wagner,1987-11-29,Tianjin TEDA FC,. 78   ,78,9500000,20000,RS,Right,False
Bruno,BRUNO  SORIANO LLIDO,1984-06-12,Villarreal CF,. 78   ,78,4300000,25000,RDM,Left,False
Adrien Silva,Adrien sebastian perruchet silva,1989-03-15,Leicester City,. 78   ,78,9500000,75000,RES,Right,False
Mikel San José,MIKEL SAN JOSÉ DOMÍNGUEZ,1989-05-30,Athletic Club de Bilbao,. 78   ,78,9500000,26000,SUB,Right,False
D. Welbeck,DANIEL NII TACKIE MENSAH WELBECK,1990-11-26,Watford,. 78   ,78,10500000,72000,SUB,Right,False
R. Zieler,RON-ROBERT ZIELER,1989-02-12,Hannover 96,. 78   ,78,7000000,25000,GK,Right,False
A. Barnes,ASHLEY BARNES,1989-10-30,Burnley,. 78   ,78,10500000,44000,LS,Right,False
A. Dzyuba,artem dzyuba,1988-08-22,Russia,. 78   ,78,0,0,,Right,False
C. Grenier,Clément grenier,1991-01-07,Stade Rennais FC,. 78   ,78,10500000,45000,LCM,Right,False
Camacho,Ignacio camacho barnola,1990-05-04,VfL Wolfsburg,. 78   ,78,9000000,44000,SUB,Right,False
Rafael Carioca,RAFAEL DE SOUZA PEREIRA,1989-06-18,Tigres U.A.N.L.,. 78   ,78,8500000,63000,LDM,Right,False
Alan Carvalho,alan douglas borges de carvalho,1989-07-10,Tianjin Quanjian FC,. 78   ,78,10500000,28000,CAM,Right,False
R. Boudebouz,RYAD BOUDEBOUZ,1990-02-19,AS Saint-Étienne,. 78   ,78,10000000,36000,CAM,Left,False
A. Mehmedi,admir mehmedi,1991-03-16,VfL Wolfsburg,. 78   ,78,10500000,52000,SUB,Right,False
Daniel Carriço,dANIEL FILIPE MARTINS CARRIÇO,1988-08-04,Sevilla FC,. 78   ,78,8500000,17000,SUB,Right,False
S. Rudy,SEBASTIAN RUDY,1990-02-28,TSG 1899 Hoffenheim,. 78   ,78,9000000,35000,RCM,Right,False
Souza,JOSEF DE SOUZA DIAS,1989-02-11,Al Ahli,. 78   ,78,8500000,38000,CDM,Right,False
B. Hübner,BENJAMIN HÜBNER,1989-07-04,TSG 1899 Hoffenheim,. 78   ,78,8500000,35000,LCB,Left,False
Iborra,Vicente iborra de la fuente,1988-01-16,Villarreal CF,. 78   ,78,9000000,33000,SUB,Right,False
J. Baumgartlinger,JULIAN BAUMGARTLINGER,1988-01-02,Bayer 04 Leverkusen,. 78   ,78,8000000,53000,RCM,Right,False
Rafael,rafael pereira da silva,1990-07-09,Olympique Lyonnais,. 78   ,78,9000000,61000,SUB,Right,False
B. Mee,Ben mee,1989-09-23,Burnley,. 78   ,78,8500000,37000,LCB,Left,False
De Marcos,óscar de marcos arana,1989-04-14,Athletic Club de Bilbao,. 78   ,78,8000000,23000,SUB,Right,False
M. Hitz,marwin hitz,1987-09-18,Borussia Dortmund,. 78   ,78,6500000,49000,SUB,Right,False
N. Clyne,Nathaniel edwin clyne,1991-04-05,Liverpool,. 78   ,78,9000000,77000,SUB,Right,False
B. André,benjamin andré,1990-08-03,LOSC Lille,. 78   ,78,10500000,42000,RDM,Right,False
M. Antonio,Michail antonio,1990-03-28,West Ham United,. 78   ,78,10000000,79000,SUB,Right,False
P. Groß,PASCAL GROSS,1991-06-15,Brighton & Hove Albion,. 78   ,78,10500000,52000,RW,Right,False
J. Guðmundsson,Johann  berg guðmunds­son,1990-10-27,Burnley,. 78   ,78,10500000,40000,RM,Left,False
D. Ginczek,Daniel ginczek,1991-04-13,VfL Wolfsburg,. 78   ,78,10500000,52000,RES,Right,False
S. Cook,steve cook,1991-04-19,Bournemouth,. 78   ,78,9000000,61000,RCB,Right,False
Jaume Costa,jaume vicent costa jordá,1988-03-18,Valencia CF,. 78   ,78,7500000,33000,SUB,Left,False
R. Soriano,ROBERTO SORIANO,1991-02-08,Bologna,. 78   ,78,10500000,36000,CAM,Right,False
G. Medel,Gary alexis medel soto,1987-08-03,Beşiktaş JK,. 78   ,78,8000000,58000,RDM,Right,False
D. Didavi,DANIEL DIDAVI,1990-02-21,VfB Stuttgart,. 78   ,78,10000000,32000,CAM,Left,False
Hugo Mallo,HUGO MALLO NOVEGIL,1991-06-22,RC Celta,. 78   ,78,9000000,25000,RB,Right,False
A. Townsend,andros townsend,1991-07-16,Crystal Palace,. 78   ,78,11000000,55000,RM,Left,False
T. Cairney,TOM CAIRNEY,1991-01-20,Fulham,. 78   ,78,10500000,49000,RCM,Left,False
A. Finnbogason,ALFREÐ FINNBOGASON,1989-02-01,FC Augsburg,. 78   ,78,10000000,30000,ST,Right,False
N. Lodeiro,marcelo nicolás lodeiro benítez,1989-03-21,Seattle Sounders FC,. 78   ,78,10000000,10000,CAM,Left,False
G. Krychowiak,grzegorz krychowiak,1990-01-29,Lokomotiv Moscow,. 78   ,78,9000000,1000,RDM,Right,False
B. Stambouli,bENJAMIN STAMBOULI,1990-08-13,FC Schalke 04,. 78   ,78,9000000,32000,RDM,Right,False
K. Malcuit,kévin malcuit,1991-07-31,Napoli,. 78   ,78,9000000,54000,RB,Right,False
Nolito,MANUEL AGUDO DURÁN,1986-10-15,Sevilla FC,. 78   ,78,8000000,19000,SUB,Right,False
S. Rode,SEBASTIAN RODE,1990-10-11,Eintracht Frankfurt,. 78   ,78,9000000,35000,SUB,Right,False
A. Marchesín,AGUSTÍN MARCHESÍN,1988-03-16,FC Porto,. 78   ,78,6500000,11000,GK,Right,False
G. Ramírez,GASTÓN EXEQUIEL RAMÍREZ PEREYRA,1990-12-02,Sampdoria,. 78   ,78,10500000,39000,RW,Left,False
M. Rojo,faustino marcos alberto rojo,1990-03-20,Manchester United,. 78   ,78,8500000,95000,SUB,Left,False
Naldo,eDINALDO GOMES PEREIRA,1988-08-25,RCD Espanyol,. 78   ,78,8500000,27000,RCB,Right,False
J. Gouweleeuw,jEFFREY GOUWELEEUW,1991-07-10,FC Augsburg,. 78   ,78,9500000,25000,RCB,Right,False
G. Defrel,gregoire defrel,1991-06-17,Roma,. 78   ,78,10500000,48000,SUB,Left,False
Álvaro,Álvaro gonzález soberón,1990-01-08,Olympique de Marseille,. 78   ,78,8500000,36000,LCB,Right,False
